"id","last_name","first_name","email","parliament_phone","parliament_fax","office_address","office_suburb","office_state","office_postcode","office_fax","office_phone","party_id","electorate_id","created_at","updated_at","mailing_address","mailing_suburb","mailing_state","mailing_postcode"
"92","Neumann","Shayne","Shayne.Neumann.MP@aph.gov.au","(02) 6277 4755","(02) 6277 8533","Shop 28-29, 68 Hunter Street","Brassall","QLD","4305","(07) 3201 5311","(07) 3201 5300","1","12","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 5117","Brassall","QLD","4305"
"93","Hart","Ross","Ross.Hart.MP@aph.gov.au","(02) 6277 2069","(02) 6277 8425","100 St John Street","Launceston","TAS","7250","(03) 6334 7055","(03) 6334 7033","1","7","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 5035","Launceston","TAS","7250"
"94","O'Connor","Brendan","Brendan.O'Connor.MP@aph.gov.au","(02) 6277 4105","(02) 6277 2286","Suite 1 Level 2 13-15 Lake Street","Caroline Springs","Vic","3023","(03) 8358 4245","(03) 8390 6166","1","62","2018-02-16 10:24:43","2018-02-16 10:24:43","Suite 1 Level 2 13-15 Lake Street","Caroline Springs","Vic","3023"
"95","O'Dowd","Ken","ken.o'dowd.mp@aph.gov.au","(02) 6277 4380","(02) 6277 8495","76 Goondoon Street","Gladstone","QLD","4680","(07) 4972 0888","(07) 4972 5465","4","51","2018-02-16 10:24:43","2018-02-16 10:24:43","76 Goondoon Street","Gladstone","QLD","4680"
"96","O'Dwyer","Kelly","kelly.odwyer.mp@aph.gov.au","(02) 6277 7930","(02) 6273 0434","Suite 1, 1343 Malvern Road","Malvern","VIC","3144","(03) 9822 0319","(03) 9822 4422","2","70","2018-02-16 10:24:43","2018-02-16 10:24:43","Suite 1, 1343 Malvern Road","Malvern","VIC","3144"
"97","O'Neil","Clare","clare.oneil.mp@aph.gov.au","(02) 6277 4907","(02) 6277 2347","401 Clayton Road","Clayton","VIC","3168","(03) 9545 6299","(03) 9545 6211","1","74","2018-02-16 10:24:43","2018-02-16 10:24:43","PO Box 5295","Clayton","VIC","3168"
"98","Owens","Julie","Julie.Owens.MP@aph.gov.au","(02) 6277 4134","(02) 6277 8433","Suite 1, 25 Smith Street (Entry via Macquarie Street)","Parramatta","NSW","2150","(02) 9689 3813","(02) 9689 1455","1","121","2018-02-16 10:24:44","2018-02-16 10:24:44","Suite 1, 25 Smith Street (Entry via Macquarie Street)","Parramatta","NSW","2150"
"99","Wilson","Josh","vacant@getup.org.au","(02) 6277 2081","(02) 6277 8437","62 Wray Avenue","Fremantle","WA","6160","(08) 9336 1059","(08)9335 8555","52","57","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 1224","Fremantle","WA","6959"
"100","Pasin","Tony","tony.pasin.mp@aph.gov.au","(02) 6277 4864","(02) 6277 4865","27 Commercial Street","Mt Gambier","SA","5290","(08) 8723 2230","(08) 8724 7730","2","5","2018-02-16 10:24:44","2018-02-16 10:24:44","27 Commercial Street","Mt Gambier","SA","5290"
"101","Perrett","Graham","graham.perrett.mp@aph.gov.au","(02) 6277 4542","(02) 6277 8419","Suite 106, Sunnybank Times Square, 250 McCullough Street","Sunnybank","Qld","4109","(07) 3344 4276","(07) 3344 2622","1","112","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 419, Sunnybank Plaza","Sunnybank","Qld","4109"
"102","Pitt","Keith","keith.pitt.mp@aph.gov.au","(02) 6277 4122","(02) 6277 2394","41 Woongarra Street","Bundaberg","Qld","4670","(07) 4153 1752","(07) 4152 0744","4","72","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 535","Bundaberg","Qld","4670"
"103","Plibersek","Tanya","tanya.plibersek.mp@aph.gov.au","(02) 6277 4404","(02) 6277 2212","Suite 1 267 Cleveland Street, Redfern","Sydney","NSW","2016","(02) 9379 0701","(02) 9379 0700","1","139","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 2676","Strawberry Hills","NSW","2012"
"104","Porter","Christian","christian.porter.mp@aph.gov.au","(02) 6277 7300","(02) 6273 4102","Unit 3, 28 Main Street","Ellenbrook","WA","6069","(08) 9297 3244","(08) 6296 7255","2","123","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 2226","Ellenbrook","WA","6069"
"105","Prentice","Jane","jane.prentice.mp@aph.gov.au","(02) 6277 4426","(02) 6277 8512","636 Moggill Road","Chapel Hill","Qld","4069","(07) 3378 1399","(07) 3378 1599","2","132","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 704","Indooroopilly","Qld","4068"
"106","Price","Melissa","melissa.price.mp@aph.gov.au","(02) 6277 4242","(02) 6277 8554","2B/209 Foreshore Drive","Geraldton","WA","6530","(08) 9921 7990","(08) 9964 2195","2","44","2018-02-16 10:24:44","2018-02-16 10:24:44","2B/209 Foreshore Drive","Geraldton","WA","6530"
"107","Pyne","Christopher","C.Pyne.MP@aph.gov.au","(02) 6277 7840","(02) 6273 3662","429 Magill Road","St Morris","SA","5068","(08) 8431 2288","(08) 8431 2277","2","137","2018-02-16 10:24:44","2018-02-16 10:24:44","429 Magill Road","St Morris","SA","5068"
"108","Ramsey","Rowan","rowan.ramsey.mp@aph.gov.au","(02) 6277 4967","(02) 6277 8440","104 Ellen St","Port Pirie","SA","5540","(08) 8633 1749","(08) 8633 1744","2","65","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 296","Port Pirie","SA","5540"
"109","Hastie","Andrew","andrew.hastie.mp@aph.gov.au","(02) 6277 4223","(02) 6277 4181","Unit 2, 61 Sutton Street","Mandurah","WA","6210",,"(08) 9534 8044","2","25","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 968","Mandurah","WA","6210"
"110","Dick","Milton","Milton.Dick.MP@aph.gov.au","(02) 6277 4910","(02) 6277 8448","255 Forest Lake Boulevard","Forest Lake","QLD","4078","(07) 3879 6441","(07) 3879 6440","1","118","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 4042","Forest Lake","QLD","4078"
"111","Rishworth","Amanda","amanda.rishworth.mp@aph.gov.au","(02) 6277 2293","(02) 6277 8498","232 Main South Road","Morphett Vale","SA","5162","(08) 8186 2688","(08) 8186 2588","1","83","2018-02-16 10:24:44","2018-02-16 10:24:44","232 Main South Road","Morphett Vale","SA","5162"
"112","Wilson","Tim","Tim.Wilson.MP@aph.gov.au","(02) 6277 2392","(02) 6277 8545","368 Centre Road","Bentleigh","VIC","3204","(03) 9557 2906","(03) 9557 4644","2","61","2018-02-16 10:24:44","2018-02-16 10:24:44","368 Centre Road","Bentleigh","VIC","3204"
"113","Robert","Stuart","stuart.robert.mp@aph.gov.au","(02) 6277 4415","(02) 6277 8436","Unit 1, 110 Brisbane Road","Labrador","Qld","4215","(07) 5500 5484","(07) 5500 5919","2","46","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 733","Biggera Waters","Qld","4216"
"114","Rowland","Michelle","michelle.rowland.mp@aph.gov.au","(02) 6277 4833","(02) 6277 8586","230 Prospect Highway","Seven Hills","NSW","2147","(02) 9671 5147","(02) 9671 4780","1","64","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 686","Seven Hills","NSW","1730"
"115","Lamb","Susan","vacant@getup.org.au","(02) 6277 4532","(02) 6277 8442","Init 7, Level 1, 69 King Street","Caboolture","QLD","4510","(07) 5432 3188","(07) 5432 3177","52","91","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 42","Caboolture","QLD","4510"
"116","Butler","Terri","Terri.Butler.MP@aph.gov.au","(02) 6277 4877","(02) 6277 8497","630 Wynnum Road","Morningside","QLD","4170","(07) 3899 5755","(07) 3899 4031","1","66","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 476a","Morningside","QLD","4170"
"117","Leeser","Julian","Julian.Leeser.MP@aph.gov.au","(02) 6277 4826","(02) 6277 8547","Level 11, 423 Pennant Hills Road","Pennant Hills","NSW","2120","(02) 9980 1833","(02) 9980 1822","2","11","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 743","Pennant Hills","NSW","1715"
"118","Ryan","Joanne","joanne.ryan.mp@aph.gov.au","(02) 6277 4398","(02) 6277 2364","Tenancies 3 & 4, 203-205 Watton Street","Werribee","VIC","3030","(03) 9741 6213","(03) 9742 5800","1","86","2018-02-16 10:24:44","2018-02-16 10:24:44","Tenancies 3 & 4, 203-205 Watton Street","Werribee","VIC","3030"
"119","Littleproud","David","David.Littleproud.MP@aph.gov.au","(02) 6277 7630",,"Suite 3, Foodworks Centre, 59 Condamine Street","Dalby","QLD","4405",,"(07) 4662 2715","4","99","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 641","Dalby","QLD","4405"
"120","Husar","Emma","Emma.Husar.MP@aph.gov.au","(02) 6277 4968","(02) 6277 8449","Ground Floor, 331 High Street","Penrith","NSW","2750",,"(02) 4722 0600","1","89","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 712","Penrith","NSW","2751"
"121","Shorten","Bill","bill.shorten.mp@aph.gov.au","(02) 6277 4022","(02) 6277 8562","Suite 1A, 12 Hall Street","Moonee Ponds","VIC","3039","(03) 9326 0611","(03) 9326 1300","1","100","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 214","Moonee Ponds","VIC","3039"
"122","Aly","Anne","anne.aly@walabor.org.au","(02) 6277 4876","(02) 6277 8526","Shop 3, Kingsway Shopping Centre, 168 Wanneroo Road","Madeley","WA","6065","(08) 9409 9361","(08) 9409 4517","1","34","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 219","Kingsway","WA","6065"
"123","Smith","Tony","Tony.Smith.MP@aph.gov.au","(02) 6277 4000","(02) 6277 2050","Suite 11, 1 East Ridge Drive","Chirnside Park","VIC","3116",,"(03) 9727 0799","2","27","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 40","Chirnside Park","VIC","3116"
"124","Snowdon","Warren","Warren.Snowdon.MP@aph.gov.au","(02) 6277 4081","(02) 6277 2088","Unit 3, 12 Gregory Terrace","Alice Springs","NT","870","(08) 8952 5922","(08) 8952 9696","1","90","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 4007","Alice Springs","NT","870"
"125","Flint","Nicolle","Nicolle.Flint.MP@aph.gov.au","(02) 6277 2057","(02) 6277 8415","Level 1, 724 Marion Road","Marion","SA","5043","(08) 8374 3071","(08) 8374 0511","2","15","2018-02-16 10:24:44","2018-02-16 10:24:44","Level 1, 724 Marion Road","Marion","SA","5043"
"126","Drum","Damian","Damian.Drum.MP@aph.gov.au","(02) 6277 4031","(02) 6277 8534","426 Wyndham Street","Shepparton","VIC","3630",,"(03) 5821 5371","4","113","2018-02-16 10:24:44","2018-02-16 10:24:44","426 Wyndham Street","Shepparton","VIC","3630"
"127","Sudmalis","Ann","ann.sudmalis.mp@aph.gov.au","(02) 6277 4141","(02) 6277 8482","Suite 3, 59 Junction Street","Nowra","NSW","2541","(02) 4423 1785","(02) 4423 1782","2","59","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 1009","Nowra","NSW","2541"
"128","Sukkar","Michael","michael.sukkar.mp@aph.gov.au","(02) 6277 4847","(02) 6277 4862","5/602 Whitehorse Road","Mitcham","VIC","3132","(03) 9874 0599","(03) 9874 1711","2","39","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 232","Mitcham","VIC","3132"
"129","Swan","Wayne","wayne.swan.mp@aph.gov.au","(02) 6277 4311","(02) 6277 2399","1162 Sandgate Road","Nundah","Qld","4012","(07) 3266 4263","(07) 3266 8244","1","88","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 182","Nundah","Qld","4012"
"130","Taylor","Angus","angus.taylor.mp@aph.gov.au","(02) 6277 7710",,"191 Auburn Street","Goulburn","NSW","2580","(02) 4822 1029","(02) 4822 2277","2","76","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 700","Goulburn","NSW","2580"
"131","Tehan","Dan","dan.tehan.mp@aph.gov.au","(02) 6277 7560","(02) 6273 4122","190 Gray Street","Hamilton","VIC","3300","(03) 5572 1141","(03) 5572 1100","2","143","2018-02-16 10:24:44","2018-02-16 10:24:44","190 Gray Street","Hamilton","VIC","3300"
"132","Thistlethwaite","Matt","matt.thistlethwaite.mp@aph.gov.au","(02) 6277 4840","(02) 6277 4969","Shop 6, 205 Maroubra Road","Maroubra","NSW","2035","(02) 9349 8089","(02) 9349 6007","1","82","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 895","Maroubra","NSW","2035"
"133","Khalil","Peter","Peter.Khalil.MP@aph.gov.au","(02) 6277 4857","(02) 6277 8444","3 Munro Street","Coburg","VIC","3058",,"(03) 9350 5777","1","149","2018-02-16 10:24:44","2018-02-16 10:24:44","3 Munro Street","Coburg","VIC","3058"
"134","O'Brien","Llew","Llew.O'Brien.MP@aph.gov.au","(02) 6277 2301","(02) 6277 8550","319 Kent Street","Maryborough","QLD","4650",,"(07) 4121 2936","4","148","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 283","Maryborough","QLD","4650"
"135","Tudge","Alan","alan.tudge.mp@aph.gov.au","(02) 6277 7770",,"Suite 4, Level 1, 420 Burwood Highway","Wantirna South","Vic","3152","(03) 9887 3893","(03) 9887 3890","2","2","2018-02-16 10:24:44","2018-02-16 10:24:44","Suite 4, Level 1, 420 Burwood Highway","Wantirna South","Vic","3152"
"136","Turnbull","Malcolm","Malcolm.Turnbull.MP@aph.gov.au","(02) 6277 7700","(02) 6273 4100","Ground Floor, 287-289 New South Head Road (Corner Edgecliff Road)","Edgecliff","NSW","2027","(02) 9327 2533","(02) 9327 3988","2","146","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 545","Edgecliff","NSW","2027"
"137","Vamvakinou","Maria","Maria.Vamvakinou.MP@aph.gov.au","(02) 6277 4249","(02) 6277 8426","Shop M0004, 80 Taylors Road","Keilor Downs","VIC","3038","(03) 9367 3064","(03) 9367 5216","1","23","2018-02-16 10:24:44","2018-02-16 10:24:44","Shop M0004, 80 Taylors Road","Keilor Downs","VIC","3038"
"138","van Manen","Bert","bert.vanmanen.mp@aph.gov.au","(02) 6277 4719","(02) 6277 8553","Tenancy 4/96 George Street","Beenleigh","Qld","4207","(07) 3807 1990","(07) 3807 6340","2","52","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 884","Beenleigh","Qld","4207"
"139","Burney","Linda","Linda.Burney.MP@aph.gov.au","(02) 6277 4623","(02) 6277 8527","Suite 203/13A, Montgomery Street","Kogarah","NSW","2217","(02) 9587 1544","(02) 9587 1555","1","6","2018-02-16 10:24:44","2018-02-16 10:24:44","Suite 203/13A, Montgomery Street","Kogarah","NSW","2217"
"140","Vasta","Ross","ross.vasta.mp@aph.gov.au","(02) 6277 4632","(02) 6277 8535","69 Clara Street","Wynnum","QLD","4178","(07) 3893 3422","(07) 3893 3488","2","14","2018-02-16 10:24:44","2018-02-16 10:24:44","69 Clara Street","Wynnum","QLD","4178"
"141","Watts","Tim","tim.watts.mp@aph.gov.au","(02) 6277 4537","(02) 6277 2327","97 Geelong Road","Footscray","VIC","3011","(03) 9687 7151","(03)9687 7661","1","58","2018-02-16 10:24:44","2018-02-16 10:24:44","97 Geelong Road","Footscray","VIC","3011"
"142","Keay","Justine","vacant@getup.org.au","(02) 6277 4626","(02) 6277 8445","Shop 2-32 Wilmot Street","Burnie","TAS","7320",,"(03) 6431 1333","52","17","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 908","Burnie","TAS","7320"
"143","Wicks","Lucy","lucy.wicks.mp@aph.gov.au","(02) 6277 4738","(02) 6277 4739","Level 3, 69 Central Coast Highway","West Gosford","NSW","2250","(02) 4322 2499","(02) 4322 2400","2","131","2018-02-16 10:24:44","2018-02-16 10:24:44","Level 3, 69 Central Coast Highway","West Gosford","NSW","2250"
"144","Wilkie","Andrew","andrew.wilkie.mp@aph.gov.au","(02) 6277 4766","(02) 6277 8579","188 Collins Street","Hobart","Tas","7001","(03) 6223 8560","(03) 6234 5255","7","40","2018-02-16 10:24:44","2018-02-16 10:24:44","GPO Box 32","Hobart","Tas","7001"
"145","Georganas","Steve","Steve.Georganas.MP@aph.gov.au","(02) 6277 4816","(02) 6277 8521","Shop 2, 670 ANZAC Highway","Glenelg","SA","5045","(08) 8376 7888","(08) 8376 9000","1","71","2018-02-16 10:24:44","2018-02-16 10:24:44","Shop 2, 670 ANZAC Highway","Glenelg","SA","5045"
"146","Wilson","Rick","rick.wilson.mp@aph.gov.au","(02) 6277 4101","(02) 6277 2073","345 Hannan Street","Kalgoorlie","WA","6430","(08) 9021 2033","(08) 9021 2044","2","117","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 10415","Kalgoorlie","WA","6430"
"147","Wood","Jason","jason.wood.mp@aph.gov.au","(02) 6277 4982","(02) 6277 4994","Unit 3, 16 Langmore Lane","Berwick","VIC","3806","(03) 9768 9883","(03) 9768 9164","2","85","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 539","Berwick","VIC","3806"
"148","Wyatt","Ken","ken.wyatt.mp@aph.gov.au","(02) 6277 7720",,"Shop 10-12 Forrestfield Marketplace, 80 Hale Road","Forrestfield","WA","6058","(08) 9359 0197","(08) 9359 0322","2","68","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 325","Forrestfield","WA","6058"
"149","Zappia","Tony","Tony.Zappia.MP@aph.gov.au","(02) 6277 4147","(02) 6277 8592","959 North East Road","Modbury","SA","5092","(08) 8265 3900","(08) 8265 3100","1","97","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 775","Modbury","SA","5092"
"150","O'Brien","Ted","Ted.O'Brien.MP@aph.gov.au","(02) 6277 4130","(02) 6277 8410","17 Southern Drive","Maroochydore","QLD","4558","(07) 5443 5333","(07) 5479 2800","2","47","2018-02-16 10:24:44","2018-02-16 10:24:44","PO Box 1978","Sunshine Plaza","QLD","4558"
"11381","Smith","T","Mount.Ommaney@parliament.qld.gov.au","(07) 3279 5137","(07) 3279 0645","PO Box 1153","MOUNT OMMANEY","QLD","4074","(07) 3279 0645","(07) 3279 5137","16","361","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11383","Bates","R M","Mudgeeraba@parliament.qld.gov.au","(07) 3224 2880","(07) 5569 0675","PO Box 897","MUDGEERABA","QLD","4213","(07) 5569 0675","(07) 5569 0482","16","283","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11385","Bleijie","J","Kawana@parliament.qld.gov.au","(07) 3247 9068","(07) 5478 1815","PO Box 1200","BUDDINA","QLD","4575","(07) 5478 1815","(07) 5478 1189","16","321","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11387","Trad","J","South.Brisbane@parliament.qld.gov.au","(07) 3255 3615","(07) 3255 3627","PO Box 5326","WEST END","QLD","4101","(07) 3255 3627","(07) 3255 3615","12","316","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11389","Pyne","R","Cairns@parliament.qld.gov.au","(07) 4051 2868","(07) 4051 6760","PO Box 5697","CAIRNS","QLD","4870","(07) 4051 6760","(07) 4051 2868","12","340","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11391","Brown","D","Capalaba@parliament.qld.gov.au","(07) 3245 6950","(07) 3245 4871","PO Box 523","CAPALABA","QLD","4157","(07) 3245 4871","(07) 3245 6950","12","300","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11393","Crandon","M J","Coomera@parliament.qld.gov.au","(07) 5514 0483","(07) 5514 0634","PO Box 80","OXENFORD","QLD","4210","(07) 5514 0634","(07) 5514 0483","16","290","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11395","Cripps","A P","Hinchinbrook@parliament.qld.gov.au","(07) 4776 1428","(07) 4776 3503","PO Box 1515","INGHAM","QLD","4850","(07) 4776 3503","(07) 4776 1428","16","276","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11397","Barton","V M","Broadwater@parliament.qld.gov.au","(07) 5563 9010","(07) 5529 6070","PO Box 644","LABRADOR","QLD","4215","(07) 5529 6070","(07) 5563 9010","16","324","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11399","Butcher","G","Gladstone@parliament.qld.gov.au","(07) 4978 4650","(07) 4978 4459","PO Box 1592","GLADSTONE","QLD","4680","(07) 4978 4459","(07) 4978 4650","12","297","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11401","Hinchliffe","S","Sandgate@parliament.qld.gov.au","(07) 3269 7018","(07) 3269 1179","PO Box 496","SANDGATE","QLD","4017","(07) 3269 1179","(07) 3269 7018","12","333","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11403","Davis","T E","Aspley@parliament.qld.gov.au","(07) 3235 4280","(07) 3263 4253","Shop 2, 1315 Gympie Road","ASPLEY","QLD","4034","(07) 3263 4253","(07) 3263 6703","16","328","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11405","Donaldson","L","Bundaberg@parliament.qld.gov.au","(07) 3239 0199","(07) 4152 8726","PO Box 935","BUNDABERG","QLD","4670","(07) 4152 8726","(07) 4152 1476","12","331","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11407","Kelly","J","Greenslopes@parliament.qld.gov.au","(07) 3394 3956","(07) 3397 0354","Shop 3, Coorparoo Village Shopping Centre","358 Old Cleveland Road","QLD","4151","(07) 3397 0354","(07) 3394 3956","12","358","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11409","Dickson","S L","Buderim@parliament.qld.gov.au","(07) 3224 7477","(07) 5453 7802","PO Box 187","BUDERIM","QLD","4556","(07) 5453 7802","(07) 5450 1115","16","350","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11411","Cramp","S","Gaven@parliament.qld.gov.au","(07) 5502 1411","(07) 5502 1433","Units 4 and 5, 12 Ferry Street","NERANG","QLD","4211","(07) 5502 1433","(07) 5502 1411","16","322","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11413","McEachan","M","Redlands@parliament.qld.gov.au","(07) 3207 6910","(07) 3207 6897","PO Box 3667","VICTORIA POINT WEST","QLD","4165","(07) 3207 6897","(07) 3207 6910","16","291","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11415","Elmes","G W","Noosa@parliament.qld.gov.au","(07) 3235 4562","(07) 5449 9719","PO Box 1849","NOOSAVILLE DC","QLD","4566","(07) 5449 9719","(07) 5449 8988","16","348","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11417","Emerson","S A","Indooroopilly@parliament.qld.gov.au","(07) 3237 1111","(07) 3378 7072","Suite 1, 49 Station Road","INDOOROOPILLY","QLD","4068","(07) 3378 7072","(07) 3878 1928","16","360","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11419","Farmer","D","Bulimba@parliament.qld.gov.au","(07) 3399 9492","(07) 3399 6457","PO Box 107","MORNINGSIDE","QLD","4170","(07) 3399 6457","(07) 3399 9492","12","337","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11421","Bailey","M","Yeerongpilly@parliament.qld.gov.au","(07) 3848 4410","(07) 3892 2229","PO Box 412","MOOROOKA","QLD","4105","(07) 3892 2229","(07) 3848 4410","12","315","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11423","Rowan","C","Moggill@parliament.qld.gov.au","(07) 3237 1832","(07) 3892 2229","PO Box 328","KENMORE","QLD","4069","(07) 3892 2229","(07) 3378 8020","16","317","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11425","Saunders","B","Maryborough@parliament.qld.gov.au","(07) 4122 2277","(07) 4122 1980","PO Box 51","MARYBOROUGH","QLD","4650","(07) 4122 1980","(07) 4122 2277","12","296","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11427","Miles","S","Mount.Coot-tha@parliament.qld.gov.au","(07) 3368 3208","(07) 3369 4283","PO Box 1626","MILTON","QLD","4064","(07) 3369 4283","(07) 3368 3208","12","326","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11429","Perrett","A","Gympie@parliament.qld.gov.au","(07) 5482 3651","(07) 5482 5711","PO Box 1277","GYMPIE","QLD","4570","(07) 5482 5711","(07) 5482 3651","16","310","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11431","Grace","I","Brisbane.Central@parliament.qld.gov.au","(07) 3832 1322","(07) 3832 1323","Unit 2, Hill House","541 Boundary Street (Corner Bradley Street) SPRING HILL","QLD","4000","(07) 3832 1323","(07) 3832 1322","12","293","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11433","Lynham","A","Stafford@parliament.qld.gov.au","(07) 3356 4367","(07)3352 4960","Unit 207, 6 Babarra Street","STAFFORD","QLD","4053","(07)3352 4960","(07) 3356 4367","12","295","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11435","Leahy","A","Warrego@parliament.qld.gov.au","(07) 4622 8888","(07) 4622 8777","PO Box 945","ROMA","QLD","4455","(07) 4622 8777","(07) 4622 8888","16","312","2018-02-16 10:24:44","2018-02-16 10:24:44",,,,
"11437","Lauga","B","Keppel@parliament.qld.gov.au","(07) 4939 5732","(07) 4939 5736","PO Box 1661","YEPPOON","QLD","4703","(07) 4939 5736","(07) 4939 5732","12","282","2018-02-16 10:24:45","2018-02-16 10:24:45",,,,
"11439","Weir","P","Condamine@parliament.qld.gov.au","(07) 4662 2527","(07) 4662 5203","14A Cunningham Street","DALBY","QLD","4405","(07) 4662 5203","(07) 4662 2527","16","325","2018-02-16 10:24:45","2018-02-16 10:24:45",,,,
"11441","McVeigh","J J","Toowoomba.South@parliament.qld.gov.au","(07) 3239 3000","(07) 4639 1045","PO Box 3005","TOOWOOMBA","QLD","4350","(07) 4638 2147","(07) 4639 1199","16","359","2018-02-16 10:24:45","2018-02-16 10:24:45",,,,
"11443","Costigan","J N","Whitsunday@parliament.qld.gov.au","(07) 4945 3343","(07) 4945 3278","PO Box 251","PROSERPINE","QLD","4800","(07) 4945 3278","(07) 4945 3343","16","287","2018-02-16 10:24:45","2018-02-16 10:24:45",,,,
"11445","Millar","L","Gregory@parliament.qld.gov.au","(07) 4658 1227","(07) 4658 1949","PO Box 180","LONGREACH","QLD","4730","(07) 4658 1949","(07) 4658 1227","16","281","2018-02-16 10:24:45","2018-02-16 10:24:45",,,,
"11447","Stewart","S","Townsville@parliament.qld.gov.au","(07) 4772 4711","(07) 4721 2097","PO Box 1101","TOWNSVILLE","QLD","4810","(07) 4721 2097","(07) 4772 4711","12","319","2018-02-16 10:24:45","2018-02-16 10:24:45",,,,
"11449","Jones","K","Ashgrove@parliament.qld.gov.au","(07) 3224 4500","(07) 3366 6202","PO Box 3010","ASHGROVE EAST","QLD","4060","(07) 3366 6202","(07) 3366 6000","12","294","2018-02-16 10:24:45","2018-02-16 10:24:45",,,,
"11451","Boothman","M A","Albert@parliament.qld.gov.au","(07) 3807 0809","(07) 3807 6296","PO Box 1255","BEENLEIGH","QLD","4207","(07) 3807 6296","(07) 3807 0809","16","332","2018-02-16 10:24:45","2018-02-16 10:24:45",,,,
"11453","Katter","R I","Mount.Isa@parliament.qld.gov.au","(07) 4743 5149","(07) 4743 3386","PO Box 1968","MOUNT ISA","QLD","4825","(07) 4743 3386","(07) 4743 5149","15","285","2018-02-16 10:24:45","2018-02-16 10:24:45",,,,
"11455","Minnikin","S J","Chatsworth@parliament.qld.gov.au","(07) 3398 4777","(07) 3398 4680","PO Box 1565","CARINDALE","QLD","4152","(07) 3398 4680","(07) 3398 4777","16","343","2018-02-16 10:24:45","2018-02-16 10:24:45",,,,
