last_name,first_name,email,courtesy,salutation,honorific,gender,parliament_phone,parliament_fax,office_address,office_suburb,office_state,office_postcode,office_fax,office_phone,office_tollfree,titles,party_name,electorate_name,jurisdiction
Petrusma,J A,jacquie.petrusma@parliament.tas.gov.au,Ms,Ms,MP,F,(03) 6214 6000,(03) 6214 6002,27 South Arm Road,Rokeby,TAS,7019,(03) 6214 6002,(03) 6214 6000,,,LP,Franklin,TAS
Hidding,M T,rene.hidding@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6233 8099,(03) 6233 2823,17A Marlborough Street,Longford,TAS,7301,(03) 6391 3103,(03) 6397 7411,,,LP,Lyons,TAS
Morris,T B,tim.morris@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6212 2363,(03) 6224 2298,"Shop 9, Cove Hill Shopping Centre",Bridgewater,TAS,7030,(03) 6263 3805,(03) 6263 3801,,Chair of Committees,Tas Greens,Lyons,TAS
Polley,M R,michael.polley@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6397 7408,(03) 6391 1385,10A Marlborough Street,Longford,TAS,7301,(03) 6391 1385,(03) 6397 7408,1800 134 634,Speaker,ALP,Lyons,TAS
Shelton,M D,mark.shelton@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6212 2183,(03) 6233 2823 ,17A Marlborough Street,Longford,TAS,7301,(03) 6391 3103,(03) 6397 7411,,,LP,Lyons,TAS
White,R,rebecca.white@parliament.tas.gov.au,Ms,Ms,MP,F,(03) 6212 2212,(03) 6223 3803,"10th Floor, Executive Building, 15 Murray Street",Hobart,TAS,7000,(03) 6223 2806,(03) 6233 3974,,,ALP,Lyons,TAS
Booth,K D,kim.booth@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6233 8300,(03) 6223 1406,"Level 1, 162 Macquarie Street, Civic Square",Launceston,TAS,7250,(03) 6336 2522,(03) 6336 2294,,,Tas Greens ,Bass,TAS
Ferguson,M D J,michael.ferguson@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6212 2182,(03) 6233 2823,"4th Floor, Henty House, 1 Civic Square",Launceston,TAS,7250,(03) 6301 9224,(03) 6336 2427,,,LP,Bass,TAS
Gutwein,P C,peter.gutwein@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6212 2188,(03) 6233 2823,"4th Floor, Henty House, 1 Civic Square",Launceston,TAS,7250,(03) 6334 1487,(03) 6336 2671 ,,,LP,Bass,TAS
O'Byrne,M A,michelle.obyrne@parliament.tas.gov.au,Hon,Hon,MP,F,(03) 6233 0804,(03) 6233 4980,"Ground Floor, Public Buildings, 53 St John Street",Launceston,TAS,7250,(03) 6336 2640,(03) 6336 2452 ,,"Minister for Health, Minister for Children, Minister for Sport and Recreation, Leader of Government Business",ALP,Bass,TAS
Wightman,B N,brian.wightman@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6233 9237,(03) 6223 7610,"Ground Floor, Public Buildings, 53 St John Street",Launceston,TAS,7250,(03) 6336 2767,(03) 6336 2637,,"Attorney-General, Minister for Justice, Minister for Environment, Parks and Heritage",ALP,Bass,TAS
Archer,E N,elise.archer@parliament.tas.gov.au,Ms,Ms,MP,F,(03) 6212 2185,(03) 6233 2823,62 Main Road,Moonah,TAS,7009,(03) 6233 5484,(03) 6233 5995 ,,Opposition Whip,LP,Denison,TAS
Bacon,S,scott.bacon@parliament.tas.gov.au,Hon,Hon,MP,M,(03) 6233 8878,(03) 6233 8874,353 Main Street,Glenorchy,TAS,7010,(03) 6233 8878,(03) 6233 8874,,"Minister for Tourism, Minister for Hospitality, Minister for Veterans' Affairs, Minister for Finance",ALP,Denison,TAS
Groom,M G,matthew.groom@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6212 2186,(03) 6233 2823,"Level 1 - Reserve Bank Building, 111 Macquarie Street",Hobart,TAS,7000,(03) 6223 2406,(03) 6233 2433,,,LP,Denison,TAS
O'Connor,C,cassy.oconnor@parliament.tas.gov.au,Hon,Hon,MP,F,(03) 6233 8300,(03) 6223 1406,"Level 9, Marine Board Building, 1 Franklin Wharf",Hobart,TAS,7000,(03) 6233 2671,(03) 6233 6756,,"Minister for Human Services, Minister for Community Development, Minister for Climate Change, Minister for Aboriginal Affairs",Tas Greens,Denison,TAS
Sturges,G L,graeme.sturges@parliament.tas.gov.au,Mr,Mr,MP,M,(03) 6212 2216,(03) 6278 7743,95 Main Road,Moonah,TAS,7009,(03) 6278 7743,(03) 6233 2530,,,ALP,Denison,TAS
Atkinson MP,M,croydon@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8346 2462,,488 Port Road,Welland,SA,5007,(08) 8346 5471,(08) 8346 2462,,,ALP,Croydon,SA
Bedford MP,F,florey@parliament.sa.gov.au,Ms,Ms,MP,F,(08) 8263 2666,,PO Box 143,Modbury North,SA,5092,(08) 8263 2166,(08) 8263 2666,,,ALP,Florey,SA
Bettison MP,Z,ramsay@parliament.sa.gov.au,Ms,Ms,MP,F,(08) 8258 0480,,40-42 Commercial Road,Salisbury,SA,5108,(08) 8258 5433,(08) 8258 0480,,,ALP,Ramsay,SA
Bignell MP,L,mawson@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8384 6344,,PO Box 158,Woodcroft,SA,5162,(08) 8384 6155,(08) 8384 6344,,,ALP,Mawson,SA
Breuer MP,L,giles@parliament.sa.gov.au,Ms,Hon,MP,F,(08) 8237 9425,(08) 8237 9115,"Westland Shopping Centre, Nicolson Avenue",Whyalla Norrie,SA,5608,(08) 8645 0713,(08) 8645 7800,,Speaker,ALP,Giles,SA
Brock MP,G,frome@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8633 1210,,PO Box 519 ,Port Pirie,SA,5540,(08) 8633 1758,(08) 8633 1210,,,IND,Frome,SA
Caica MP,P,colton@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8463 5680,(08) 8463 5681,PO Box 9006,Henley Beach,SA,5022,(08) 8235 1050,(08) 8353 1111,,"Minister for Aboriginal Affairs and Reconciliation, Minister for Sustainability, Environment and Conservation, Minister for Water and the Rivery Murray",ALP,Colton,SA
Chapman MP,V,bragg@parliament.sa.gov.au ,Ms,Ms,MP,F,(08) 8332 4799,,357 Greenhill Road,Toorak Gardens,SA,5065,(08) 8364 2173,(08) 8332 4799,,,LIB,Bragg,SA
Close MP,S,ptadelaide@parliament.sa.gov.au,Dr,Dr,MP,F,(08) 8241 0300,,1/111 Lipson Street,Port Adelaide,SA,5015,(08) 8241 0400,(08) 8241 0300,,,ALP,Port Adelaide,SA
Conlon MP,P,elder@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8226 1210,(08) 8226 0844,967 South Road,Melrose Park,SA,5039,(08) 8374 0507,(08) 8374 1939,,"Minister for Transport and Infrastructure, Minister for Housing and Urban Development",ALP,Elder,SA
Evans MP,I,davenport@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8278 5844,,1/7-9 Young Street,Blackwood,SA,5051,(08) 8370 2626,(08) 8278 5844,,Shadow Treasurer,LIB,Davenport,SA
Fox MP,C,bright@parliament.sa.gov.au,Ms,Hon,MP,F,(08) 8303 2101,(08) 8303 2088,7 Sturt Road,Brighton,SA,5048,(08) 8377 1324,(08) 8296 9833,,Minister for Transport Services,ALP,Bright,SA
Gardner MP,J,morialta@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8365 4224,,163 St Bernards Road,Rostrevor,SA,5073,(08) 8365 4225,(08) 8365 4224,,,LIB,Morialta,SA
Geraghty MP,R,torrens@parliament.sa.gov.au,Mrs,Mrs,MP,F,(08) 8369 2323,,"Shop 8, 511-529 North East Road",Gilles Plains,SA,5086,(08) 8369 0410,(08) 8369 2323,,Government Whip,ALP,Torrens,SA
Goldsworthy MP,M,kavel@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8391 5599,,48 Hutchinson Street,Mount Barker,SA,5251,(08) 8391 4744,(08) 8391 5599,,"Shadow Minister for Veterans Affairs, Shadow Minister for Consumer Affairs",LIB,Kavel,SA
Griffiths MP,S,goyder@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8832 2455,,51 Robert Street,Maitland,SA,5573,(08) 8832 2699,(08) 8832 2455,,Opposition Whip,LIB,Goyder,SA
Hamilton-Smith MP,M,waite@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8271 6448,,PO Box 275,Torrens Park,SA,5062,(08) 8373 3158,(08) 8271 6448,,"Shadow Minister for Health and Ageing, Shadow Minister for Mental Health, Shadow Minister for Substance Abuse",LIB,Waite,SA
Hill MP,J,kaurna@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8463 6270,(08) 8463 6277,99 Dyson Road,Christies Beach,SA,5165,(08) 8326 4389,(08) 8326 6055,,"Minister for Mental Health and Substance Abuse, Minister for The Arts, Minister for Health and Ageing",ALP,Kaurna,SA
Kenyon MP,T,newland@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8226 8520,(08) 8226 8444,"Office 4, 1257 North East Road",Ridgehaven,SA,5097,(08) 8396 1737,(08) 8264 4482,,"Minister for Science and Information Economy, Minister for Employment, Higher Education and Skills, Minister for Recreation and Sport",ALP,Newland,SA
Key MP,S,ashford@parliament.sa.gov.au,Ms,Hon,MP,F,(08) 8371 5600,,407 Marion Road,Plympton,SA,5038,(08) 8371 5211,(08) 8371 5600,,"Minister for Manufacturing, Innovation and Trade, Minister for Mineral Resources and Energy",ALP,Ashford,SA
Koutsantonis MP,T,westtorrens@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8463 6560,(08) 8204 1960,229 Henley Beach Road,Torrensville,SA,5031,(08) 8234 6323,(08) 8234 0777,,"Shadow Minister for Industry and Trade, Defence Industries, Small Business, Science and Information Economy, Environment and Conservation, Sustainability and Climate Change",ALP,West Torrens,SA
Marshall MP,S,norwood@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8363 9111,,Unit 2 90-94 The Parade,Norwood,SA,5067,(08) 8363 4001,(08) 8363 9111,,,LIB,Dunstan,SA
McFetridge MP,D,morphett@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8294 6711,,4 Byron Street,Glenelg,SA,5045,(08) 8294 9712,(08) 8294 6711,,"Shadow Minister for Police, Shadow Minister for Correctional Services, Shadow Minister for Emergency Services, Shadow Minister for Road Safety, Shadow Minister for Volunteers, Shandow Minister for Aboriginal Affairs",LIB,Morphett,SA
O'Brien MP,M,napier@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8226 0322,(08) 8226 0316,PO Box 144,Smithfield,SA,5114,(08) 8254 1023,(08) 8254 9811,,"Minister for Finance, Minister for the Public Sector",ALP,Napier,SA
Odenwalder MP,L,littlepara@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8255 3030,,Po Box 1046,Elizabeth Vale,SA,5112,(08) 8287 1349,(08) 8255 3030,,,ALP,Little Para,SA
Pederick MP,A,hammond@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8531 1676,,20 Mannum Road,Murray Bridge,SA,5253,(08) 8531 1282,(08) 8531 1676,,"Shadow Minister for Food and Fisheries, Shadow Minister for Agriculture",LIB,Hammond,SA
Pegler MP,D,mtgambier@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8724 9944,,24a Bay Road,Mount Gambier,SA,5290,(08) 8723 1585,(08) 8724 9944,,,IND,Mount Gambier,SA
Pengilly MP,M,finniss@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8553 2974,,71 Victoria Street,Victoria Harbor,SA,5211,(08) 8553 0398,(08) 8553 2974,,,LIB,Finniss,SA
Piccolo MP,T,light@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8522 2878,,148 Murray Street,Gawler,SA,5118,(08) 8523 1392,(08) 8522 2878,,,ALP,Light,SA
Pisoni MP,D,unley@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8373 4846,,372 Unley Road,Unley Park,SA,5061,(08) 8373 4261,(08) 8373 4846,,Shadow Minister for Early Childhood Development08 Dec '11Shadow Minister for Further Education,LIB,Unley,SA
Portolesi MP,G,hartley@parliament.sa.gov.au,Ms,Hon,MP,F,(08) 8226 1205,(08) 8226 1556,PO Box 2151,Felixtow,SA,5070,(08) 8365 3421,(08) 8365 1341,,Minister for Education and Child Development,ALP,Hartley,SA
Rankine MP,J,wright@parliament.sa.gov.au,Ms,Hon,MP,F,(08) 8463 6611,(08) 8463 6642,PO Box 111,Golden Grove Village,SA,5125,(08) 8289 1430,(08) 8289 0700,,"Minister for Police, Minister for Correctional Services, Minister for Emergency Services, Minister for Road Safety, Minister for Multicultural Affairs",ALP,Wright,SA
Rau MP,J,enfield@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8207 1723,(08) 8207 1736,Po Box 286,Kilburn,SA,5084,(08) 8260 7111,(08) 8260 7733,,"Minister for Planning, Minister for Business Services and Consumers",ALP,Enfield,SA
Redmond MP,I,heysen@parliament.sa.gov.au,Ms,Ms,MP,F,(08) 8339 5077,,14 Druids Avenue,Stirling,SA,5152,(08) 8339 6817,(08) 8339 5077,,"Leader of the Opposition, Shadow Minister for Multicultural Affairs, Shadow Minister for ICAC, Shadow Minster for Arts",LIB,Heysen,SA
Sanderson MP,R,adelaide@parliament.sa.gov.au,Ms,Ms,MP,F,(08) 8269 1838,,84 Prospect Road,Prospect,SA,5082,(08) 8269 4233,(08) 8269 1838,,,LIB,Adelaide,SA
Sibbons MP,A,mitchell@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8177 0077,,867 Marion Road,Mitchell Park,SA,5043,(08) 8177 0088,(08) 8177 0077,,,ALP,Mitchell,SA
Snelling MP,J,playford@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8226 1866,(08) 8226 1896,Unit 1/3 Wilkinson Road,Para Hills,SA,5096,(08) 8396 3435,(08) 8263 3777,,"Treasurer, Minister for Workers Rehabilitation, Minister for Defence Industries, Minister for Veterans' Affairs",ALP,Playford,SA
Such MP,B,fisher@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8270 5122,,Shop 11 Aberfoyle Hub Shopping Centre,Aberfoyle Park,SA,5159,(08) 8270 1874,(08) 8270 5122,,,IND,Fisher,SA
Thompson MP,G,reynell@parliament.sa.gov.au,Ms,Ms,MP,F,(08) 8382 0409,,198 Main South Road,Morphett Vale,SA,5162,(08) 8384 3470,(08) 8382 0409,,,ALP,Reynell,SA
Treloar MP,P,flinders.portlincoln@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8683 0722,,PO Box 1798,Port Lincoln,SA,5606,(08) 8682 5912,(08) 8683 0722,,,LIB,Flinders,SA
van Holst Pellekaan MP,D,stuart.portaugusta@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8642 3633,,"Shop 2, 5 Young Street",Port Augusta,SA,5700,(08) 8642 6402,(08) 8642 3633,,"Shadow Minster for Regional Development, Shadow Minister for Sport and Recreation, Shadow Minister for Racing",LIB,Stuart,SA
Venning MP,I,schubert@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8563 3636,,129A Murray Street,Tanunda,SA,5352,(08) 8563 0190,(08) 8563 3636,,,LIB,Schubert,SA
Vlahos MP,L,taylor@parliament.sa.gov.au,Mrs,Mrs,MP,F,(08) 8280 5144,,"Paralowie Shopping Centre, Units 1 & 2, 9 Liberator Drive",Paralowie,SA,5108,(08) 8280 5526,(08) 8280 5144,,Parliamentary Secretary to the Premier,ALP,Taylor,SA
Weatherill MP ,J,cheltenham@parliament.sa.gov.au,Mr,Hon,MP,M,(08) 8463 3166,(08) 8463 3168,Po Box 102,Woodville,SA,5011,(08) 8244 6732,(08) 8243 0062,,"Premier, Minister for State Development",ALP,Cheltenham,SA
Whetstone MP,T,chaffey@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8582 4230,,13 Kay Avenue,Berri,SA,5343,(08) 8582 4231,(08) 8582 4230,,,LIB,Chaffey,SA
Williams MP,M,mackillop@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8762 1211,,30 Ormerod Street,Naracoorte,SA,5271,(08) 8762 1121,(08) 8762 1211,,"Deputy Leader of the Opposition, Shadow Minister for the River Murray, Shadow Minister for Energy, Shadow Minister for Mineral Resources Development",LIB,MacKillop,SA
Wright MP,M,lee@parliament.sa.gov.au,Mr,Mr,MP,M,(08) 8268 2680,,PO Box 4100,Seaton,SA,5023,(08) 8268 8667,(08) 8268 2680,,,ALP,Lee,SA
Toole MLA,P L,paul.toole@parliament.nsw.gov.au,Mr ,Mr,MLA,M,(02) 6332 1300,,"Suites 1 and 2, 229 Howick Street",Bathurst,NSW,2795,(02) 6332 1900,(02) 6332 1300,,Parliamentary Secretary,NATS,Bathurst,NSW
Rohan MLA,A B,smithfield@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 9756 4766,,2/679 The Horseley Drive,Smithfield,NSW,2164,(02) 9756 1544,(02) 9756 4766,,,LIB,Smithfield,NSW
Sidoti MLA,A J,drummoyne@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 9713 2999,,128 Great North Road,Five Dock,NSW,2046,(02) 9713 2911,(02) 9713 2999,,,LIB,Drummoyne,NSW
Barr MLA,C G,cessnock@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 4991 1466,,118 Vincent Street,Cessnock,NSW,2325,(02) 4991 1103,(02) 4991 1466,,,ALP,Cessnock,NSW
Souris MLA,G,upperhunter@parliament.nsw.gov.au,Mr,Hon,MLA,M,(02) 9228 5218,(02) 9228 5968,20 Bridge Street,Muswellbrook,NSW,2333,(02) 6543 1416,(02) 6543 1065,,"Minister for Tourism, Major Events, Hospitality and Racing, Minister for the Arts",NATS,Upper Hunter,NSW
Torbay MLA,G R,northerntablelands@parliament.nsw.gov.au ,Mr,Hon,MLA,M,(02) 6772 5552,,"Suite 1, Ground Floor, 175 Rusden Street",Armidale,NSW,2350,(02) 6772 5026,(02) 6772 5552,,,VACANT,Northern Tablelands,NSW
Parker MLA,R M,Robyn.Parker@parliament.nsw.gov.au ,Ms,Hon,MLA ,F,(02) 9228 5253,(02) 9228 5763,34 Church Street,Maitland,NSW,2320,(02) 4933 4782,(02) 4933 1617,,"Minister for the Environment, Minister for Heritage",LIB,Maitland,NSW
George MLA,T,lismore@parliament.nsw.gov.au,Mr,Hon,MLA,M,(02) 6621 3624,,55 Carrington Street,Lismore,NSW,2480,(02) 6622 1403,(02) 6621 3624,,Deputy Speaker,NATS,Lismore,NSW
Conolly MLA,K F,riverstone@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 8883 3499,,"Shop 20, Stanhope Village, 2 Sentry Drive",Stanhope Gardens,NSW,2768,(02) 8883 3355,(02) 8883 3499,,,LIB,Riverstone,NSW
Barilaro MLA,G D,monaro@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 6299 4899,,110-112 Monaro Street,Queanbeyan,NSW,2620,(02) 6297 9998,(02) 6299 4899,,Acting Speaker,NATS,Monaro,NSW
Cornwell MLA,A S,charlestown@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 4942 1242,,"Unit 3, 313 Charlestown Rd",Charlestown,NSW,2290,(02) 4942 1060,(02) 4942 1242,,,LIB,Charlestown,NSW
Owen MLA,T F,newcastle@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 4926 1126,,"Ground Floor, 414 Hunter Street",Newcastle,NSW,2300,(02) 4926 2134,(02) 4926 1126,,,LIB,Newcastle,NSW
Maguire MLA,D W,waggawagga@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 6921 1622,,76 Morgan Street,Wagga Wagga,NSW,2650,(02) 6921 4424,(02) 6921 1622,,Government Whip,LIB,Wagga Wagga,NSW
Hodgkinson MLA,K A,burrinjuck@parliament.nsw.gov.au,Ms,Hon,MLA,F,(02) 9228 5210,(02) 9228 5969,133 Comur Street,Yass,NSW,2582,(02) 6226 3345,(02) 6226 3311,,"Minister for Primary Industries, Minister for Small Business",NATS,Burrinjuck,NSW
Bassett MLA,B E,londonderry@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 9833 1122,,"Shop 12, 82 Victoria Street",Werrington,NSW,2747,(02) 9623 1185,(02) 9833 1122,,,LIB,Londonderry,NSW
Doyle MLA,B M,campbelltown@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 4625 3344,,"Suite 2A, 263 Queen Street",Campbelltown,NSW,2560,(02) 4626 3640,(02) 4625 3344,,,LIB,Campbelltown,NSW
Constance MLA,A J,bega@parliament.nsw.gov.au,Mr,Hon,MLA,M,(02) 9228 5263,(02) 9228 5500,122 Carp Street,Bega,NSW,2550,(02) 6492 3578,(02) 6492 2056,,"Minister for Ageing, Minister for Disability Services",LIB,Bega,NSW
Hazzard MLA,B R,wakehurst@parliament.nsw.gov.au,Mr,Hon,MLA,M,(02) 9228 5258,(02) 9228 5721,"Shop 3, 637-641 Pittwater Road",Dee Why,NSW,2099,(02) 9981 5059,(02) 9981 1111,,"Minister for Planing and Infrastructure, Minister Assisting the Premier on Infrastructure NSW, Leader of the House",LIB,Wakehurst,NSW
O'Dea MLA,J R,davidson@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 9880 7400,,"Suite 8A, 12 Tryon Road",Lindfield,NSW,2070,(02) 9880 7488,(02) 9880 7400,,,LIB,Davidson,NSW
Humphries MLA,K J,barwon@parliament.nsw.gov.au,Mr,Hon,MLA,M,(02) 9228 5248,(02) 9228 5882,"Suites 2-6, 161 Balo Street",Moree,NSW,2400,(02) 6752 6102,(02) 6752 5002,,"Minister for Mental Health, Minister for Healthy Lifestyles, Minister for Western New South Wales",NATS,Barwon,NSW
Ward MLA,G J,kiama@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 4232 1082,,"Terralong House, 125 Terralong Street",Kiama,NSW,2533,(02) 4232 3577,(02) 4232 1082,,,LIB,Kiama,NSW
Watson MLA,A,shellharbour@parliament.nsw.gov.au,Ms,Ms,MLA,F,(02) 4297 3111,,"Shop 3, 10 College Avenue, Shellharbour City Centre",Shellharbour,NSW,2529,(02) 4297 3144,(02) 4297 3111,,,ALP,Shellharbour,NSW
Aplin MLA,G J,albury@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 6021 3042,,612 Dean Street ,Albury,NSW,2640,(02) 6021 8884,(02) 6021 3042,,,LIB,Albury,NSW
Stoner MLA,A J,oxley@parliament.nsw.gov.au,Mr,Hon,MLA,M,(02) 9228 5209,(02) 9228 5970,37 Elbow Street,West Kempsey,NSW,2440,(02) 6563 1355,(02) 6562 6190,,"Deputy Premier, Minister for Trade and Investment, Minister for Regional Infrastructure and Services",NATS,Oxley,NSW
Grant MLA,T W,dubbo@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 6882 3577,,"Shop 1, 18 Talbragar Street",Dubbo,NSW,2830,(02) 6882 3689,(02) 6882 3577,,Parliamentary Secretary for Natural Resources,NATS,Dubbo,NSW
Hoenig MLA,R,heffron@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 9699 8166,,Shop 117 747 Botany Rd ,Rosebery,NSW,2018,(02) 9699 8222,(02) 9699 8166,,"Shadow Minister for Energy, and Shadow Minister for Ports",ALP,Heffron,NSW
Gibbons MLA,M R,menai@parliament.nsw.gov.au,Ms,Ms,MLA,F,(02) 9825 3653,,60 Walder Road,Hammondville,NSW,2170,(02) 9825 4861,(02) 9825 3653,,Acting Speaker,LIB,Menai,NSW
Gulaptis MLA,C,clarence@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 6643 1244,,11 Prince Street ,Grafton,NSW,2460,(02) 6642 7574,(02) 6643 1244,,,NATS,Clarence,NSW
Piper MLA,G M,lakemacquarie@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 4959 3200,,92 Victory Parade,Toronto,NSW,2283,(02) 4950 4076,(02) 4959 3200,,,IND,Lake Macquarie,NSW
Burton MLA,C A,kogarah@parliament.nsw.gov.au,Ms,Ms,MLA,F,(02) 9587 9684,,"Suite 1, Ground Floor, 22-24 Regent Street",Kogarah,NSW,2217,(02) 9588 7138,(02) 9587 9684,,,ALP,Kogarah,NSW
Piccoli MLA,A,murrumbidgee@parliament.nsw.gov.au,Mr,Hon,MLA,M,(02) 9228 5261,(02) 9228 5492,"NSW Government Offices, 104-110 Banna Avenue",Griffith,NSW,2680,(02) 6962 7725,(02) 6962 6644,,Minister for Education,NATS,Murrumbidgee,NSW
Bromhead MLA,S B,myalllakes@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 6555 4099,,"Room F6, Bridgepoint Building, Lot 1-5 Manning Street",Tuncurry,NSW,2428,(02) 6555 4780,(02) 6555 4099,,,NATS,Myall Lakes,NSW
Goward MLA,P J,goulburn@parliament.nsw.gov.au,Ms,Hon,MLA,F,(02) 9228 5413,(02) 9228 5501,288 Bong Bong Street,Bowral,NSW,2576,(02) 4861 3546,(02) 4861 3623,,"Minister for Family and Community Services, Minister for Women",LIB,Goulburn,NSW
Page MLA,D L,ballina@parliament.nsw.gov.au,Mr,Hon,MLA,M,(02) 9228 3403,(02) 9228 3442,"Shop 1, 7 Moon Street",Ballina,NSW,2478,(02) 6686 7470,(02) 6686 7522,,"Minister for Local Government, Minister for the North Coast",NATS,Ballina,NSW
Gee MLA,A R,orange@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 6362 5199,,123 Byng Street,Orange,NSW,2800,(02) 6361 3922,(02) 6362 5199,,,NATS,Orange,NSW
Rowell MLA,J T,wollondilly@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 4683 2622,,"Shop 1, 117 Remembrance Drive",Tahmoor,NSW,2573,(02) 4683 2595,(02) 4683 2622,,,LIB,Wollondilly,NSW
Baumann MLA,C A,portstephens@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 4987 4455,,1/82 Port Stephens Street,Raymond Terrace,NSW,2324,(02) 4987 4455,(02) 4987 4455,,Parliamentary Secretary for Regional Planning,LIB,Port Stephens,NSW
Parker MLA,J T,balmain@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 9660 7586,,112A Glebe Point Road,Glebe,NSW,2037,(02) 9660 6112,(02) 9660 7586,,,GNS,Balmain,NSW
Williams MLA,R C,hawkesbury@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 8882 9555,,"Suite 202, Rouse Hill Town Centre, 10-14 Market Lane",Rouse Hill,NSW,2155,(02) 8882 9411,(02) 8882 9555,,Parliamentary Secretary for Western Sydney,LIB,Hawkesbury,NSW
Anderson MLA,K J,tamworth@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 6766 1422,,"Ground Floor, 13 Fitzroy Street",Tamworth,NSW,2340,(02) 6766 6765,(02) 6766 1422,,,NATS,Tamworth,NSW
Kean MLA,M J,hornsby@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 9476 3411,,"Suite 5, The Madison, 25-29 Hunter Street",Hornsby,NSW,2077,(02) 9476 2965,(02) 9476 3411,,,LIB,Hornsby,NSW
Hornery MLA,S K,wallsend@parliament.nsw.gov.au,Ms,Ms,MLA,F,(02) 4950 0955,,"Suite 3, 30 Dan Rees Street",Wallsend,NSW,2287,(02) 4950 0977,(02) 4950 0955,,Acting Speaker,ALP,Wallsend,NSW
Flowers MLA,J F,rockdale@parliament.nsw.gov.au,Mr,Mr,MLA,M,(02) 9597 1414,,478 Princes Highway,Rockdale,NSW,2216,(02) 9567 0508,(02) 9597 1414,,,LIB,Rockdale,NSW
