"id","last_name","first_name","email","state","parliament_phone","parliament_fax","office_address","office_suburb","office_state","office_postcode","office_fax","office_phone","mailing_address","mailing_suburb","mailing_state","mailing_postcode","party_id","created_at","updated_at","region_id"
"111","Blair","Niall","niall.blair@parliament.nsw.gov.au","NSW","(02) 9230 2467","(02) 9230 2997","52 Martin Place","SYDNEY","NSW","2000","(02) 9339 5560","(02) 8574 7190",,,,,"26","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"112","Colless","Richard","rick.colless@parliament.nsw.gov.au","NSW","(02) 9230 2397","(02) 9230 3579","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"26","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"113","Fang","Wes","wes.fang@parliament.nsw.gov.au","NSW","(02) 9230 2888","(02) 9230 2923","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"26","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"114","Franklin","Ben","ben.franklin@parliament.nsw.gov.au","NSW","(02) 9230 3793","(02) 9230 3350","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"26","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"115","Khan","Trevor","trevor.khan@parliament.nsw.gov.au","NSW","(02) 9230 3491","(02) 9230 3502","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"26","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"116","Mitchell","Sarah","sarah.mitchell@parliament.nsw.gov.au","NSW","(02) 9230 3499","(02) 9230 2348","52 Martin Place","SYDNEY","NSW","2000","(02) 9339 5578","(02) 8574 5950",,,,,"26","2018-03-20 23:53:31","2018-03-20 23:53:31","38"
"117","Taylor","Bronnie","bronnie.taylor@parliament.nsw.gov.au","NSW","(02) 9230 3795","(02) 9230 2423","Parliament House, Macquarie Street","Sydney","NSW","2000",,,,,,,"26","2018-03-20 23:53:32","2018-03-20 23:53:32","38"
"118","Ketter","Chris","senator.ketter@aph.gov.au","QLD","(02) 6277 3065","(02) 6277 5713","'Crossroads', 454 Gympie Road","Strathpine","Qld","4500","(07) 3881 3755","(07) 3881 3710","PO Box  2246","Strathpine Centre","Qld","4500","1","2018-03-20 23:53:32","2018-03-20 23:53:32","1"
"119","Martin","Steve","senator.martin@aph.gov.au","TAS","(02) 6277 3808",,"Level 1, 21 Best Street","Devonport","TAS","7310",,"(03) 6420 7560","Level 1, 21 Best Street","Devonport","TAS","7310","7","2018-03-20 23:53:32","2018-03-20 23:53:32","8"
"120","Hanson","Pauline","senator.hanson@aph.gov.au","QLD","(02) 6277 3184","(02) 6277 5805","Suite 6, Level 36, Waterfront Place, 1 Eagle Street","Brisbane","QLD","4000","(07) 3221 8422","(07) 3221 7644","GPO Box 228","Brisbane","QLD","4001","48","2018-03-20 23:53:32","2018-03-20 23:53:32","1"
"121","Leyonhjelm","David","senator.leyonhjelm@aph.gov.au","NSW","(02) 6277 3054","(02) 6277 5945","Suite 405 Henry Lawson Building, 19 Roseby Street","Drummoyne","NSW","2047","(02) 9181 5462","(02) 9719 1078","PO Box 636","Drummoyne","NSW","1470","34","2018-03-20 23:53:32","2018-03-20 23:53:32","2"
"122","McGrath","James","senator.mcgrath@aph.gov.au","QLD","(02) 6277 3076","(02) 6277 5948","Tenancy A, 2-4 Mitchell Street","Nambour","QLD","4560","(07) 5441 1699","(07) 5441 1800","PO Box 772","Nambour","QLD","4560","2","2018-03-20 23:53:32","2018-03-20 23:53:32","1"
"123","Hinch","Derryn","senator.hinch@aph.gov.au","VIC","(02) 6277 3168","(02) 6277 5789","Level 14, 1 Queens Road","Melbourne","VIC","3004","(03) 9820 0638","(03) 9820 2222","PO Box 33241","Melbourne","VIC","3004","50","2018-03-20 23:53:32","2018-03-20 23:53:32","6"
"124","O'Sullivan","Barry","senator.o'sullivan@aph.gov.au","QLD","(02) 6277 3478","(02) 6277 5968","Tenancy A, 189 Hume Street","Toowoomba","Qld","4350","(07) 4638 7199","(07) 4638 7555","PO Box 3135","Toowoomba","Qld","4350","4","2018-03-20 23:53:32","2018-03-20 23:53:32","1"
"125","Reynolds","Linda","senator.reynolds@aph.gov.au","WA","(02) 6277 3296","(02) 6277 5764","Suite C, 117 Great Eastern Highway","Rivervale","WA","6103",,"(08) 9477 5411","PO Box 369","Belmont","WA","6984","2","2018-03-20 23:53:32","2018-03-20 23:53:32","3"
"126","Rice","Janet","senator.rice@aph.gov.au","VIC","(02) 6277 3225","(02) 6277 5717","240 Sydney Road","Coburg","Vic","3058","(03) 9384 6399","(03) 9384 6199","240 Sydney Road","Coburg","Vic","3058","3","2018-03-20 23:53:32","2018-03-20 23:53:32","6"
"127","Georgiou","Peter","senator.georgiou@aph.gov.au","WA","(02) 6277 3351","(02) 6277 5816","Units 4 & 5, 162 Colin Street","West Perth","WA","6005",,"(08) 9226 1750","PO Box 6","West Perth","WA","6872","48","2018-03-20 23:53:32","2018-03-20 23:53:32","3"
"128","Dodson","Patrick","senator.dodson@aph.gov.au","WA","(02) 6277 3746","(02) 6277 5905","Unit 1, 23 Coghlan St","Djugun","WA","6725","(08) 9192 6010","(08) 9193 5955","PO Box 3490","Broome","WA","6725","1","2018-03-20 23:53:32","2018-03-20 23:53:32","3"
"129","Canavan","Matthew","senator.canavan@aph.gov.au","QLD","(02) 6277 7180",,"Ground Floor, 34 East Street","Rockhampton","Qld","4700","(07) 4927 2004","(07) 4927 2003","PO Box 737","Rockhampton","Qld","4700","4","2018-03-20 23:53:32","2018-03-20 23:53:32","1"
"130","Gichuhi","Lucy","senator.gichuhi@aph.gov.au","SA","(02) 6277 3604","(02) 6277 5820","Suite 10 Commonwealth Parliament Offices, Level 13, 100 King William Street","Adelaide","SA","5000",,"(08) 8205 1050","Suite 10 Commonwealth Parliament Offices, Level 13, 100 King William Street","Adelaide","SA","5000","2","2018-03-20 23:53:32","2018-03-20 23:53:32","5"
"131","Aldridge","Martin","martin.aldridge@mp.wa.gov.au","WA","(08) 9324 3155","(08) 9324 3166","Level 1, Sterling House, 8 Parliament Place","WEST PERTH","WA","6005","(08) 9324 3166","(08) 9324 3155","Level 1, Sterling House, 8 Parliament Place","WEST PERTH","WA","6005","41","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"133","Baston","Kenneth","ken.baston@mp.wa.gov.au","WA","(08) 6552 5400","(08) 6552 5401","Unit 8, 20 Hamersley Street","BROOME","WA","6725","(08) 9193 7055","(08) 9193 7044","PO Box 1452","BROOME","WA","6725","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"135","Behjat","Elizabeth","liz.behjat@mp.wa.gov.au","WA","(08) 9440 4422","(08) 9440 4433","Suite 1, 43 Cedric Street","STIRLING","WA","6021","(08) 9440 4433","(08) 9440 4422","PO Box 874","INNALOO","WA","6018","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"137","Boydell","Jacqueline","Jacqui.Boydell@mp.wa.gov.au","WA","(08) 9173 2006","(08) 9173 2007","Unit 7, 15 Wedge Street","PORT HEDLAND","WA","6721","(08) 9173 2007","(08) 9173 2006","PO Box 291","PORT HEDLAND","WA","6721","41","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"139","Brown","Paul","paul.brown@mp.wa.gov.au","WA","(08) 9921 4818","(08) 9921 4972","Unit 3, 5 Chapman Road","GERALDTON","WA","6530","(08) 9621 1941","(08) 9622 1668","Northam Boulevard, Fitzgerald Street","NORTHAM","WA","6401","41","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"141","Chapple","Robin","robin.chapple@mp.wa.gov.au","WA","(08) 9486 8255","(08) 9486 8355","41 Havelock Street","WEST PERTH","WA","6005","(08) 9486 8355","(08) 9226 4707","PO Box 94","WEST PERT","WA","6872","37","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"143","Chown","James","jim.chown@mp.wa.gov.au","WA","(08) 9481 0082","(08) 9321 1287","5 Harvest Terrace","WEST PERTH","WA","6005","(08) 9321 1287","(08) 9481 0082","5 Harvest Terrace","WEST PERTH","WA","6005","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"145","Clohesy","Alanna","clohesy.emetro@mp.wa.gov.au","WA","(08) 9272 1718","(08) 9272 1719","62 Eighth Avenue","MAYLANDS","WA","6051","(08) 9272 1719","(08) 9272 1718","62 Eighth Avenue","MAYLANDS","WA","6051","35","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"147","Collier","Peter","peter.collier@mp.wa.gov.au","WA","(08) 6552 6300","(08) 6552 6301","10th floor, Dumas House, 2 Havelock Street","WEST PERTH","WA","6005","(08) 9203 8785","(08) 9203 9588","PO Box 2606","WARWICK","WA","6024","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"149","Dawson","Stephen","stephen.dawsonmp@mp.wa.gov.au","WA","(08) 9172 2648","(08) 9140 1525","Shop 26A South Hedland Shopping Centre, Throssell Road","SOUTH HEDLAND","WA","6722","(08) 9140 1525","(08) 9172 2648","PO Box 2440","SOUTH HEDLAND","WA","6722","35","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"151","Doust","Catherine","kate.doust@mp.wa.gov.au","WA","(08) 9470 3511","(08) 9470 3577","399 Albany Highway","VICTORIA PARK","WA","6100","(08) 9470 3577","(08) 9470 3511","PO Box 577","VICTORIA PARK","WA","6979","35","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"153","Edman","Phillip","phil.edman@mp.wa.gov.au","WA","(08) 9528 4774","(08) 9528 7195","Unit 3, 1st Floor, 18 Civic Boulevard","ROCKINGHAM","WA","6168","(08) 9528 7195","(08) 9528 4774","PO Box 7029","SAFETY BAY","WA","6169","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"155","Ellery","Suzanne","sue.ellery@mp.wa.gov.au","WA","(08) 9222 7830","(08) 9420 7635","Parliament House, Harvest Terrace","WEST PERTH","WA","6005","(08) 9312 1499","(08) 9312 1566","Shop 20, Southlands Boulevard Shopping Centre, Cnr Burrendah Boulevard and Pine Tree Gully Road","WILLETTON","WA","6155","35","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"157","Ellis","Brian","brian.ellis@mp.wa.gov.au","WA","(08) 9923 9211","(08) 9923 9222","Unit 1, Druids Hall, Corner Durlacher and Sanford Streets","GERALDTON","WA","6530","(08) 9923 9222","(08) 9923 9211","PO Box 231","GERALDTON","WA","6531","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"159","Faragher","Donna","nikki.day@mp.wa.gov.au","WA","(08) 9379 0840","(08) 9379 0845","Ground Floor, 108 Swan Street","GUILDFORD","WA","6055","(08) 9379 0845","(08) 9379 0840","Ground Floor, 108 Swan Street","GUILDFORD","WA","6055","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"161","Farina","Adele","adele.farina@mp.wa.gov.au","WA","(08) 9721 1165","(08) 9721 1167","Unit 4, 31 Victoria Street","BUNBURY","WA","6231","(08) 9721 1167","(08) 9721 1165","PO Box 381","BUNBURY","WA","6231","35","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"163","Goiran","Nicolas","nick.goiran@mp.wa.gov.au","WA","(08) 9398 3800","(08) 9398 3822","Unit 2, 714 Ranford Road","SOUTHERN RIVER","WA","6110","(08) 9398 3822","(08) 9398 3800","Unit 2, 714 Ranford Road","SOUTHERN RIVER","WA","6110","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"165","Grills","David","dave.grills@mp.wa.gov.au","WA","(08) 9071 1500","(08) 9071 1633","Shop 15, Dutton Arcade","ESPERANCE","WA","6450","(08) 9071 1633","(08) 9071 1500","PO Box 2470","ESPERANCE","WA","6450","41","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"167","Hallett","Nigel","Nigel.Hallett@mp.wa.gov.au","WA","(08) 9535 9458","(08) 9535 9489","Unit 2, 30 Spinnaker Quays","MANDURAH","WA","6210","(08) 9535 9489","(08) 9535 9458","PO Box 535","MANDURAH","WA","6210","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"169","Hayden","Alyssa","alyssa.hayden@mp.wa.gov.au","WA","(08) 9274 8484","(08) 9274 7874","Unit 34, 6 Keane Street","MIDLAND","WA","6056","(08) 9274 7874","(08) 9274 8484","Unit 34, 6 Keane Street","MIDLAND","WA","6056","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"171","Holt","Colin","colin.holt@mp.wa.gov.au","WA","(08) 6552 6100","(08) 6552 6101","8th Floor, Dumas House, 2 Havelock Street","WEST PERTH","WA","6005","(08) 9724 1148","(08) 9724 1181","Unit 2, 8 Cassowary Bend","EATON","WA","6232","41","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"173","House","Barry","barry.house@mp.wa.gov.au","WA","(08) 9222 7211","(08) 9222 7814","Parliament House, Harvest Terrace","WEST PERTH","WA","6005","(08) 9757 9599","(08) 9757 9555","Shop 6, Wooditchup Centre, 157 Bussell Highway","MARGARET RIVER","WA","6285","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"175","Katsambanis","Peter","peter.katsambanis@mp.wa.gov.au","WA","(08) 9228 0503","08 9228 0550","Unit 1, 632 Newcastle Street","LEEDERVILLE","WA","6007","(08) 9228 0550","(08) 9228 0503","PO Box 300","MOUNT HAWTHORN","WA","6915","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"177","Lewis","Mark","mark.lewis@mp.wa.gov.au","WA","(08) 9226 3550","(08) 9226 2976","Level 1, Sterling House, 8 Parliament Place","WEST PERTH","WA","6005","(08) 9226 2976","(08) 9093 1455","Level 1, Sterling House, 8 Parliament Place","WEST PERTH","WA","6005","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"179","MacLaren","Lynn","lynn.maclaren@mp.wa.gov.au","WA","(08) 9430 7233","(08) 9430 7207","Unit 7, 142 South Terrace","FREMANTLE","WA","6160","(08) 9430 7207","(08) 9430 7233","Unit 7, 142 South Terrace","FREMANTLE","WA","6160","37","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"181","Mazza","Ricky","rick.mazza@mp.wa.gov.au","WA","(08) 9481 6070","(08) 9481 6071","Office 1, 1139 Hay Street","WEST PERTH","WA","6005","(08) 9481 6071","(08) 9481 6070","Office 1, 1139 Hay Street","WEST PERTH","WA","6005","43","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"183","McSweeney","Robyn","Beverley.Walsh@mp.wa.gov.au","WA","(08) 9761 1605","(08) 9761 1606","68 Hampton Street","BRIDGETOWN","WA","6255","(08) 9761 1606","(08) 9761 1605","68 Hampton Street","BRIDGETOWN","WA","6255","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"185","Mischin","Michael","michael.mischin@mp.wa.gov.au","WA","(08) 6552 5600","(08) 6552 5601","10th Floor, Dumas House, 2 Havelock Street","JOONDALUP","WA","6005","(08) 9301 1897","(08) 9301 1896","PO Box 3044","JOONDALUP","WA","6027","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"187","Morton","Helen","helen.morton@mp.wa.gov.au","WA","(08) 6552 6900","(08) 6552 6901","12th Floor, Dumas House, 2 Havelock Street","WEST PERTH","WA","6005","(08) 9452 8366","(08) 9452 8311","Unit 2, 201-205 Burslem Drive","MADDINGTON","WA","6109","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"189","O'Brien","Simon","simon.obrien@mp.wa.gov.au","WA","(08) 9364 4277","(08) 9364 3542","904 Canning Highway","CANNING BRIDGE","WA","6153","(08) 9364 3542","(08) 9364 4277","PO Box 919","CANNING BRIDGE","WA","6153","39","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"191","Rowe","Samantha","samantha.rowe@mp.wa.gov.au","WA","(08) 9477 3855","(08) 9477 4099","Unit 6, 268 Belmont Avenue","CLOVERDALE","WA","6105","(08) 9477 4099","(08) 9477 3855","Unit 6, 268 Belmont Avenue","CLOVERDAL","WA","6105","35","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"193","Sanderson","Amber-Jade","amber.jade.sanderson@mp.wa.gov.au","WA","(08) 9275 7000","(08) 9275 7333","Unit 3, 263 Walter Road","MORLEY","WA","6062","(08) 9275 7333","(08) 9275 7000","Unit 3, 263 Walter Road","MORLEY","WA","6062","35","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"195","Talbot","Sally","sally.talbot@mp.wa.gov.au","WA","(08) 9725 3711","(08) 9725 3722","Unit 3, 9 Cassowary Bend","EATON","WA","6232","(08) 9725 3722","(08) 9725 3711","PO Box 7223","EATON","WA","6232","35","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"197","Travers","Kenneth","ken.travers@mp.wa.gov.au","WA","(08) 9300 3422","(08) 9300 3424","Unit 2, 1 Wise Street","JOONDALUP","WA","6027","(08) 9300 3424","(08) 9300 3422","Unit 2, 1 Wise Street","JOONDALUP","WA","6027","35","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"199","West","Darren","darren.west.mp@mp.wa.gov.au","WA","(08) 9964 1001","(08) 9964 1002","84 Marine Terrace","GERALDTON","WA","6530","(08) 9964 1002","(08) 9964 1001","PO Box 578","GERALDTON","WA","6531","35","2018-03-20 23:53:32","2018-03-20 23:53:32","43"
"201","McAllister","Jenny","senator.mcallister@aph.gov.au","NSW","(02) 6277 3443","(02) 6277 5781","Suite 1, 1 Park Avenue","Drummoyne","NSW","2047","(02) 9719 8078","(02) 9719 8100","Suite 1, 1 Park Avenue","Drummoyne","NSW","2047","1","2018-03-20 23:53:32","2018-03-20 23:53:32","2"
